question	answer	class
By US Congress law 1832 citizens should do what annually	George Bernard Shaw	0
By US Congress law 1832 citizens should do what annually	Hawk or Falcon	0
By US Congress law 1832 citizens should do what annually	Mafia	0
In Breton Alabama there is a law against riding what down street	Motorboat	1
In Breton Alabama there is a law against riding what down street	Rocky and Bullwinkle	0
In Breton Alabama there is a law against riding what down street	Soya bean	0
In Breton Alabama there is a law against riding what down street	Charles Rolls	0
18% of USA coins 7% of notes have what on them	Dangerous Bacteria	1
18% of USA coins 7% of notes have what on them	38th Parallel	0
18% of USA coins 7% of notes have what on them	Zeus - chief God	0
18% of USA coins 7% of notes have what on them	Napoleon III	0
Oryza sativa is what staple food item	Rice	1
Oryza sativa is what staple food item	Dadaism	0
Oryza sativa is what staple food item	Mae West	0
Oryza sativa is what staple food item	Basque Flag	0
Catherine the Great kept who in an iron cage in her bedroom	Wigmaker	1
Catherine the Great kept who in an iron cage in her bedroom	Erich Segal	0
Catherine the Great kept who in an iron cage in her bedroom	Comet	0
Catherine the Great kept who in an iron cage in her bedroom	Hurling	0
The Selenas Valley was the rejected title what Steinbeck book	East of Eden	1
The Selenas Valley was the rejected title what Steinbeck book	Acme in Roadrunner	0
The Selenas Valley was the rejected title what Steinbeck book	Scratched Drawings	0
The Selenas Valley was the rejected title what Steinbeck book	Paramount	0
Azote was the original name of what element	Nitrogen	1
Azote was the original name of what element	Grapefruit	0
Azote was the original name of what element	Shock Treatment	0
Azote was the original name of what element	The Sweet	0
What animals cannot swim	Gorillas	1
What animals cannot swim	A Pony	0
What animals cannot swim	Chicago	0
What animals cannot swim	Detergent	0
In Riverside Cal its illegal to kiss unless both wipe lips with what	Rose Water	1
In Riverside Cal its illegal to kiss unless both wipe lips with what	From Leprosy	0
In Riverside Cal its illegal to kiss unless both wipe lips with what	Richard III	0
In Riverside Cal its illegal to kiss unless both wipe lips with what	William Shakespeare	0
What USA city is also a slang name for a pineapple	Chicago	1
What USA city is also a slang name for a pineapple	Dust	0
What USA city is also a slang name for a pineapple	A Barber	0
What USA city is also a slang name for a pineapple	Piles	0
What was banned in US movie theatres in the 1920s	Popcorn - too noisy	1
What was banned in US movie theatres in the 1920s	Cuba	0
What was banned in US movie theatres in the 1920s	Horses	0
What was banned in US movie theatres in the 1920s	Porcelain	0
If you were performing a fillip what are you doing	Snapping Fingers	1
If you were performing a fillip what are you doing	Montecello	0
If you were performing a fillip what are you doing	Henry  8	0
If you were performing a fillip what are you doing	Robin	0
What unusual flavour did the Jell-O company try in 1942	Cola	1
What unusual flavour did the Jell-O company try in 1942	Fever	0
What unusual flavour did the Jell-O company try in 1942	Bishop - parts of dress	0
What unusual flavour did the Jell-O company try in 1942	Denmark	0
The interior of what is called the paste	Cheese round	1
The interior of what is called the paste	Oliver Cromwell	0
The interior of what is called the paste	Hares	0
The interior of what is called the paste	Flogging	0
More than 40% of USA women were once what	Girl Scouts	1
More than 40% of USA women were once what	Copenhagen	0
More than 40% of USA women were once what	Moscow	0
More than 40% of USA women were once what	Claustrophobia	0
What uses 28 calories if done for one minute	Kiss	1
What uses 28 calories if done for one minute	Handbag Snatching	0
What uses 28 calories if done for one minute	Duck on your head	0
What uses 28 calories if done for one minute	Norway	0
In 1820 what was taxed in Missouri	Bachelors	1
In 1820 what was taxed in Missouri	During an Eclipse	0
In 1820 what was taxed in Missouri	Victim Jack Ripper	0
In 1820 what was taxed in Missouri	Raspberry	0
What is the official drink of the state of Ohio	Tomato Juice	1
What is the official drink of the state of Ohio	George Orwell	0
What is the official drink of the state of Ohio	Gorilla	0
What is the official drink of the state of Ohio	A Pancake	0
18% of animal owners do what with their pets	Share beds	1
18% of animal owners do what with their pets	Rupert the Bear	0
18% of animal owners do what with their pets	New Dawn Rose	0
18% of animal owners do what with their pets	Oscar Wilde	0
90% of Americans consider themselves what	Shy	1
90% of Americans consider themselves what	Morris dancing	0
90% of Americans consider themselves what	Tony Soprano	0
90% of Americans consider themselves what	Cliff Richard	0
In Minnesota it is illegal to tease what animal	Skunk	1
In Minnesota it is illegal to tease what animal	Robert Redford	0
In Minnesota it is illegal to tease what animal	Naples	0
In Minnesota it is illegal to tease what animal	Skiing	0
She is the Chinese name of what year (animal)	Serpent	1
She is the Chinese name of what year (animal)	Magnesium	0
She is the Chinese name of what year (animal)	Paul McCartney	0
She is the Chinese name of what year (animal)	Pigs	0
Who wrote The Deceiver 1991 and The Fist of God 1993	Frederick Forsyth	1
Who wrote The Deceiver 1991 and The Fist of God 1993	Patsy	0
Who wrote The Deceiver 1991 and The Fist of God 1993	Winston Groom	0
Who wrote The Deceiver 1991 and The Fist of God 1993	Charlie Chan	0
What does the name Stephen mean - from the Greek	Crown	1
What does the name Stephen mean - from the Greek	St Laurence	0
What does the name Stephen mean - from the Greek	Press suits	0
What does the name Stephen mean - from the Greek	Tulle	0
If you Absterse something what do you do	Clean it	1
If you Absterse something what do you do	Italian Sports Cars	0
If you Absterse something what do you do	Virgo	0
If you Absterse something what do you do	Atlanta	0
Musa acuminata is what favourite food item	Banana	1
Musa acuminata is what favourite food item	Cherries	0
Musa acuminata is what favourite food item	A Leash	0
Musa acuminata is what favourite food item	Keats	0
In a year the average person walks four miles doing what	Making their bed	1
In a year the average person walks four miles doing what	Tony Soprano	0
In a year the average person walks four miles doing what	James Cagney	0
In a year the average person walks four miles doing what	Old English coins	0
What was the first film to use stereophonic sound	Disney's Fantasia	1
What was the first film to use stereophonic sound	Honey	0
What was the first film to use stereophonic sound	Voltaire	0
What was the first film to use stereophonic sound	Rover	0
The letter B comes from Egyptian hieroglyphics meaning what	House	1
The letter B comes from Egyptian hieroglyphics meaning what	Akala 	0
The letter B comes from Egyptian hieroglyphics meaning what	Black underwear	0
The letter B comes from Egyptian hieroglyphics meaning what	Puncheon	0
in 1995 13 books every minute sold in US were on what subject	Star Trek	1
in 1995 13 books every minute sold in US were on what subject	Squirrels tails	0
in 1995 13 books every minute sold in US were on what subject	Aerobic Dancing	0
in 1995 13 books every minute sold in US were on what subject	Jerry Lee Lewis	0
There are more telephones than people in what city	Washington USA	1
There are more telephones than people in what city	Viagra	0
There are more telephones than people in what city	Fool or Jester	0
There are more telephones than people in what city	Rolling Rock	0
In the middle ages you could be fined four pence murdering who	Travelling Musician	1
In the middle ages you could be fined four pence murdering who	Penicillin	0
In the middle ages you could be fined four pence murdering who	Criticism	0
In the middle ages you could be fined four pence murdering who	Small Butterflies	0
What food Scots once refuse to eat cos it was not in the Bible	Potato	1
What food Scots once refuse to eat cos it was not in the Bible	Geoffrey	0
What food Scots once refuse to eat cos it was not in the Bible	Buffalo	0
What food Scots once refuse to eat cos it was not in the Bible	Wanderers	0
33% of what are fake in the USA	Blondes	1
33% of what are fake in the USA	Jerry Lee Lewis	0
33% of what are fake in the USA	Hat	0
33% of what are fake in the USA	From mammary or tits	0
What holiday islands have no rivers or lakes - rain water only	Bermuda	1
What holiday islands have no rivers or lakes - rain water only	Wife	0
What holiday islands have no rivers or lakes - rain water only	Flying Scotsman	0
What holiday islands have no rivers or lakes - rain water only	Squawk	0
If you suffered from Chirospasm what have you got	Writers Cramp	1
If you suffered from Chirospasm what have you got	Marriage	0
If you suffered from Chirospasm what have you got	Peru	0
If you suffered from Chirospasm what have you got	Star Trek	0
What links Bob Hope John Huston Ryon O'Neil Bo Diddley	Boxers early in life	1
What links Bob Hope John Huston Ryon O'Neil Bo Diddley	Betting Tax	0
What links Bob Hope John Huston Ryon O'Neil Bo Diddley	Kentucky	0
What links Bob Hope John Huston Ryon O'Neil Bo Diddley	Used Underware	0
Little Jumping Flea literal trans of what Hawaiian instrument	Ukulele	1
Little Jumping Flea literal trans of what Hawaiian instrument	Type of clam	0
Little Jumping Flea literal trans of what Hawaiian instrument	Morris Minor	0
Little Jumping Flea literal trans of what Hawaiian instrument	Ivy	0
A furfy is Australian slang for what	False story or rumour	1
A furfy is Australian slang for what	Liberace	0
A furfy is Australian slang for what	Mary Quant	0
A furfy is Australian slang for what	Donkeys	0
Who said China is a big country inhabited by many Chinese	Charles de Gaulle	1
Who said China is a big country inhabited by many Chinese	Greece	0
Who said China is a big country inhabited by many Chinese	Calligraphy	0
Who said China is a big country inhabited by many Chinese	Mouth open	0
In a recent survey women disliked what part of male body most	Feet	1
In a recent survey women disliked what part of male body most	Fraggle Rock	0
In a recent survey women disliked what part of male body most	Monza Italy	0
In a recent survey women disliked what part of male body most	Montreal	0
The US had 5% world population and 70% of worlds what	Lawyers	1
The US had 5% world population and 70% of worlds what	Thyroid gland	0
The US had 5% world population and 70% of worlds what	Peru	0
The US had 5% world population and 70% of worlds what	Biscuit fired Pottery	0
In 1902 What did Mary Anderson invent	Windscreen Wipers	1
In 1902 What did Mary Anderson invent	Principle Skinner	0
In 1902 What did Mary Anderson invent	Doll	0
In 1902 What did Mary Anderson invent	J S Bach	0
If you landed at Arlanda airport where would you be	Stockholm Sweden	1
If you landed at Arlanda airport where would you be	White powder	0
If you landed at Arlanda airport where would you be	All Islands	0
If you landed at Arlanda airport where would you be	From Leprosy	0
The FEI govern what sport	Equestrian	1
The FEI govern what sport	Fire of London 1666	0
The FEI govern what sport	Saint Elmo	0
The FEI govern what sport	Cooking	0
Traditionally what should be given on a 20th anniversary	China	1
Traditionally what should be given on a 20th anniversary	Joad	0
Traditionally what should be given on a 20th anniversary	Arthropods	0
Traditionally what should be given on a 20th anniversary	Listerine	0
In Somalia its illegal to carry old chewing gum where	Stuck on your nose	1
In Somalia its illegal to carry old chewing gum where	Jeans - Levi Struss	0
In Somalia its illegal to carry old chewing gum where	Plum	0
In Somalia its illegal to carry old chewing gum where	Chow-Chow	0
Name the pet alligator in Miami Vice	Elvis	1
Name the pet alligator in Miami Vice	Copper	0
Name the pet alligator in Miami Vice	A foot long ruler	0
Name the pet alligator in Miami Vice	Peck	0
In California 22 " is the minimum legal length of saleable what	Halibut	1
In California 22 " is the minimum legal length of saleable what	Mexico City	0
In California 22 " is the minimum legal length of saleable what	Tomato Juice	0
In California 22 " is the minimum legal length of saleable what	Denmark	0
On any given day half of Americans are on what	A special Diet	1
On any given day half of Americans are on what	NYPD Blue	0
On any given day half of Americans are on what	Light Flyweight	0
On any given day half of Americans are on what	Iceland	0
Gondolas in Venice are traditionally what colour	Black	1
Gondolas in Venice are traditionally what colour	Dallas	0
Gondolas in Venice are traditionally what colour	Lavatory	0
Gondolas in Venice are traditionally what colour	Southern Comfort	0
Benjamin who was the first Lord Mayor of Dublin	Guinness	1
Benjamin who was the first Lord Mayor of Dublin	Body lice	0
Benjamin who was the first Lord Mayor of Dublin	Sneeze	0
Benjamin who was the first Lord Mayor of Dublin	Anchor	0
Where was Bacardi originally made	Cuba	1
Where was Bacardi originally made	Formic acid	0
Where was Bacardi originally made	Moon	0
Where was Bacardi originally made	Clarence Nash	0
What is six inches in height and no bigger by the rules	Table Tennis Net	1
What is six inches in height and no bigger by the rules	A Chefs hat	0
What is six inches in height and no bigger by the rules	Hershey Pennsylvania	0
What is six inches in height and no bigger by the rules	France	0
Until 1862 there was a tax in England for those who used what	Soap	1
Until 1862 there was a tax in England for those who used what	Water Snake	0
Until 1862 there was a tax in England for those who used what	Algonquin Indian	0
Until 1862 there was a tax in England for those who used what	Break a dish	0
a Paralian always lives near what	The Sea	1
a Paralian always lives near what	Milan	0
a Paralian always lives near what	Hebrew	0
a Paralian always lives near what	Corks in bottles	0
Allium cepa - one of the lilicaea - world most used food item	Onion	1
Allium cepa - one of the lilicaea - world most used food item	The Pelican	0
Allium cepa - one of the lilicaea - world most used food item	Astronauts	0
Allium cepa - one of the lilicaea - world most used food item	Rome	0
International Airline Registrations OO is what country	Belgium	1
International Airline Registrations OO is what country	Bells Nichols	0
International Airline Registrations OO is what country	Academia	0
International Airline Registrations OO is what country	Whiskey in the Jar	0
What vegetable was considered a cure for sex problems in old Egypt	Radish	1
What vegetable was considered a cure for sex problems in old Egypt	Polyphemus	0
What vegetable was considered a cure for sex problems in old Egypt	Israel	0
What vegetable was considered a cure for sex problems in old Egypt	National Geographic	0
What does the name Barbara mean - from Greek	Strange or Foreign	1
What does the name Barbara mean - from Greek	Salem Witchcraft trial	0
What does the name Barbara mean - from Greek	Skiing	0
What does the name Barbara mean - from Greek	Sand Dunes	0
The locals call it Misi what do we call this country	Egypt	1
The locals call it Misi what do we call this country	Six	0
The locals call it Misi what do we call this country	Ice Cream	0
The locals call it Misi what do we call this country	The Simpsons	0
Cavalier in French Springer in German what in English	Chess Knight 	1
Cavalier in French Springer in German what in English	A Baseball Match	0
Cavalier in French Springer in German what in English	Mongolia	0
Cavalier in French Springer in German what in English	Palk Strait	0
Woodwind Instrument size between Clarinet and Bassoon	Cor-anglais	1
Woodwind Instrument size between Clarinet and Bassoon	Duck	0
Woodwind Instrument size between Clarinet and Bassoon	Laxative	0
Woodwind Instrument size between Clarinet and Bassoon	Praline	0
Who wrote Of Human Bondage and The Moon and Sixpence	Somerset Maugham	1
Who wrote Of Human Bondage and The Moon and Sixpence	Sneeze	0
Who wrote Of Human Bondage and The Moon and Sixpence	Florida	0
Who wrote Of Human Bondage and The Moon and Sixpence	Fort Apache - Arizona	0
Where would you find Lunate Triquetral and Hamate	Bones in Wrist	1
Where would you find Lunate Triquetral and Hamate	Nicosia Cyprus	0
Where would you find Lunate Triquetral and Hamate	Beech	0
Where would you find Lunate Triquetral and Hamate	Marbles	0
What are Jean Bernard, Pierre St-Martin and Berger in France	Worlds deep caves	1
What are Jean Bernard, Pierre St-Martin and Berger in France	The Cisco Kid	0
What are Jean Bernard, Pierre St-Martin and Berger in France	New York	0
What are Jean Bernard, Pierre St-Martin and Berger in France	Handbag Snatching	0
Where are Bay of Heats and Bay of Dew Sinus Aestuum - Roris	Near side of  Moon	1
Where are Bay of Heats and Bay of Dew Sinus Aestuum - Roris	Lec	0
Where are Bay of Heats and Bay of Dew Sinus Aestuum - Roris	A Nunnery	0
Where are Bay of Heats and Bay of Dew Sinus Aestuum - Roris	The Tempest	0
The star constellation Lepus has what English name	The Hare	1
The star constellation Lepus has what English name	Fruit Trees	0
The star constellation Lepus has what English name	Compete Stanley cup	0
The star constellation Lepus has what English name	Canada Dry Ginger	0
Lauris Nobilis is the Latin name of what common herb	Bay	1
Lauris Nobilis is the Latin name of what common herb	A Payphone	0
Lauris Nobilis is the Latin name of what common herb	Reactions to meds	0
Lauris Nobilis is the Latin name of what common herb	Troy	0
If you suffered from varicella what have you got	Chickenpox	1
If you suffered from varicella what have you got	Earl Lloyd	0
If you suffered from varicella what have you got	Cornflakes	0
If you suffered from varicella what have you got	Moammar Qaddhaffi	0
Chi is the Chinese year of what	Cock	1
Chi is the Chinese year of what	Albania	0
Chi is the Chinese year of what	Fence maker	0
Chi is the Chinese year of what	Flamingo	0
A Comte France Landgraf Germany Conde Italy what England	Earl	1
A Comte France Landgraf Germany Conde Italy what England	Tupperware Party	0
A Comte France Landgraf Germany Conde Italy what England	Byron	0
A Comte France Landgraf Germany Conde Italy what England	Gazelle	0
In heraldry what is a vertical line dividing a shield called	Pale	1
In heraldry what is a vertical line dividing a shield called	Pilots Licence	0
In heraldry what is a vertical line dividing a shield called	Sperm	0
In heraldry what is a vertical line dividing a shield called	William Bligh	0
The Templeton prize is awarded annually for progress in what	Religion	1
The Templeton prize is awarded annually for progress in what	Madagascar	0
The Templeton prize is awarded annually for progress in what	Julius Caesar	0
The Templeton prize is awarded annually for progress in what	Italian Sports Cars	0
International car registration letters what country is ZA	South Africa	1
International car registration letters what country is ZA	Voltaire	0
International car registration letters what country is ZA	Irish Potato Famine	0
International car registration letters what country is ZA	Harriot Vane	0
In England what is the most popular girls name of the 90s	Rebecca	1
In England what is the most popular girls name of the 90s	Philippines	0
In England what is the most popular girls name of the 90s	Stress Related	0
In England what is the most popular girls name of the 90s	Andorra	0
Rosencrantz and Guilderstern are dead - name playwright	Tom Stoppard	1
Rosencrantz and Guilderstern are dead - name playwright	Ptolomy	0
Rosencrantz and Guilderstern are dead - name playwright	Rex Harrison	0
Rosencrantz and Guilderstern are dead - name playwright	California	0
Lucy Johnson became famous under what name	Ava Gardner	1
Lucy Johnson became famous under what name	All were Prostitutes	0
Lucy Johnson became famous under what name	Grass	0
Lucy Johnson became famous under what name	Calcutta	0
What is a Tam Tam	Orchestral Gong	1
What is a Tam Tam	Workers Council	0
What is a Tam Tam	No trump cards	0
What is a Tam Tam	Boar	0
FITA are the governing body of what sport	Archery	1
FITA are the governing body of what sport	Wife	0
FITA are the governing body of what sport	Polo	0
FITA are the governing body of what sport	A Hairsbreadth	0
Denzil Washington's first film as director was what	Finding Fish	1
Denzil Washington's first film as director was what	Long Sighted	0
Denzil Washington's first film as director was what	District of Columbia	0
Denzil Washington's first film as director was what	Success	0
What is Canada's oldest city founded in 1608	Quebec	1
What is Canada's oldest city founded in 1608	Elderberries	0
What is Canada's oldest city founded in 1608	Roger Moore	0
What is Canada's oldest city founded in 1608	Very softly	0
In the Jewish religion what's banned during The three weeks	Marriage or Haircut	1
In the Jewish religion what's banned during The three weeks	The Virginal	0
In the Jewish religion what's banned during The three weeks	Eagle	0
In the Jewish religion what's banned during The three weeks	Russian Fish Pie	0
Who wrote the hymn Hear my Prayer	Mendlesson	1
Who wrote the hymn Hear my Prayer	Drum Roll	0
Who wrote the hymn Hear my Prayer	Hippopotamus	0
Who wrote the hymn Hear my Prayer	Swiss Confederation	0
38 million Americans one in five don’t like what	Sex	1
38 million Americans one in five don’t like what	Super Bowl Sunday	0
38 million Americans one in five don’t like what	Dusseldorf	0
38 million Americans one in five don’t like what	The Leek	0
Alan Ginsberg is credited with inventing what 60s phrase	Flower Power	1
Alan Ginsberg is credited with inventing what 60s phrase	Ornamental Plants	0
Alan Ginsberg is credited with inventing what 60s phrase	Burgundy Chambertin	0
Alan Ginsberg is credited with inventing what 60s phrase	Polio	0
Who created Woody Woodpecker	Walter Lantz	1
Who created Woody Woodpecker	Opera	0
Who created Woody Woodpecker	Chocolate	0
Who created Woody Woodpecker	Germany - Russia	0
Winston Churchill had a dog - what type	Miniature Poodle	1
Winston Churchill had a dog - what type	Jochen Rindt - 1970	0
Winston Churchill had a dog - what type	William Bligh	0
Winston Churchill had a dog - what type	Green	0
Who was born in Chicago 5th December 1901 died 1966	Walt Disney	1
Who was born in Chicago 5th December 1901 died 1966	Zero	0
Who was born in Chicago 5th December 1901 died 1966	Hecate	0
Who was born in Chicago 5th December 1901 died 1966	Hooker in Rugby	0
What is the name of Paul McCartney's official fan club	Club Sandwich	1
What is the name of Paul McCartney's official fan club	Ruff	0
What is the name of Paul McCartney's official fan club	Raven	0
What is the name of Paul McCartney's official fan club	Shark	0
By US government figures people have tried 28000 ways of what	Losing Weight	1
By US government figures people have tried 28000 ways of what	Homosexuals	0
By US government figures people have tried 28000 ways of what	Golf	0
By US government figures people have tried 28000 ways of what	Cream of cauliflower	0
If you suffer from Tinea Pedis what have you got	Athletes foot	1
If you suffer from Tinea Pedis what have you got	Pig	0
If you suffer from Tinea Pedis what have you got	Bowls	0
If you suffer from Tinea Pedis what have you got	Judges	0
What colour is Llamas milk	Yellow	1
What colour is Llamas milk	Whipsaw	0
What colour is Llamas milk	Howitzer	0
What colour is Llamas milk	Volgagrad  Stalingrad	0
In Alberta its illegal to play craps if you are using what	Dice	1
In Alberta its illegal to play craps if you are using what	Montana	0
In Alberta its illegal to play craps if you are using what	Cable	0
In Alberta its illegal to play craps if you are using what	Alarm Clocks	0
What did Pope John XX1 use as effective eyewash	Babies Urine	1
What did Pope John XX1 use as effective eyewash	Lose weight	0
What did Pope John XX1 use as effective eyewash	Antarctic Ocean	0
What did Pope John XX1 use as effective eyewash	Incas	0
Siddhartha Gautama became better known as who	Buddha	1
Siddhartha Gautama became better known as who	Trombone	0
Siddhartha Gautama became better known as who	Mendlesson	0
Siddhartha Gautama became better known as who	Military belt	0
Caer-Lud was the former name of what capitol city	London	1
Caer-Lud was the former name of what capitol city	France	0
Caer-Lud was the former name of what capitol city	Malta	0
Caer-Lud was the former name of what capitol city	Bleak House	0
4% of women never do what according to survey	Wear Underwear	1
4% of women never do what according to survey	A Moustache	0
4% of women never do what according to survey	Serpent	0
4% of women never do what according to survey	Brewed own beer	0
In superstition if you marry on Saturday you will have what	No luck at all	1
In superstition if you marry on Saturday you will have what	Arousal in darkness	0
In superstition if you marry on Saturday you will have what	Philip II of Macedon	0
In superstition if you marry on Saturday you will have what	Bar when drinking	0
Who founded Methodism in 1738	John Wesley	1
Who founded Methodism in 1738	Baroness Orczy	0
Who founded Methodism in 1738	Lily of the Valley	0
Who founded Methodism in 1738	Bees	0
What was the ancient Egyptian cure for haemorrhoids	Beer - lots of beer	1
What was the ancient Egyptian cure for haemorrhoids	Rabbits	0
What was the ancient Egyptian cure for haemorrhoids	Stay still - not move	0
What was the ancient Egyptian cure for haemorrhoids	Frank and Stein	0
Where was Ice Cream invented	China	1
Where was Ice Cream invented	Glass Display Cabinet	0
Where was Ice Cream invented	Tea	0
Where was Ice Cream invented	Wall Street	0
Brittany Spears - what is her favourite drink	Sprite	1
Brittany Spears - what is her favourite drink	Argentina	0
Brittany Spears - what is her favourite drink	London - Edinburgh	0
Brittany Spears - what is her favourite drink	Francois Trufeau	0
What job does Charlie Browns father do	Barber	1
What job does Charlie Browns father do	Breadfruit	0
What job does Charlie Browns father do	The Tempest	0
What job does Charlie Browns father do	Tinker Bell	0
30% of people quit this job in USA each year - what job	School Bus Driver	1
30% of people quit this job in USA each year - what job	The Jesuits	0
30% of people quit this job in USA each year - what job	Readers Digest	0
30% of people quit this job in USA each year - what job	Bromine	0
In 1821 Jacob Fusel worlds fist commercial factory making what	Ice Cream	1
In 1821 Jacob Fusel worlds fist commercial factory making what	Queen Elizabeth	0
In 1821 Jacob Fusel worlds fist commercial factory making what	Fathers Day	0
In 1821 Jacob Fusel worlds fist commercial factory making what	Pitcairn Islands	0
The star constellation Grus has what English name	The Crane	1
The star constellation Grus has what English name	Bagpiping	0
The star constellation Grus has what English name	Tramways	0
The star constellation Grus has what English name	Claude Monet	0
International aircraft registration letters what country is PP or PT	Brazil	1
International aircraft registration letters what country is PP or PT	Slang for skunk	0
International aircraft registration letters what country is PP or PT	Glass Display Cabinet	0
International aircraft registration letters what country is PP or PT	A Dead Fish	0
What was the first 30 minute animated Disney show	Duck Tales	1
What was the first 30 minute animated Disney show	Frogs	0
What was the first 30 minute animated Disney show	Susan Saradon	0
What was the first 30 minute animated Disney show	Magnesium	0
A renaissance doctor - what treatment excluding bleeding	Enemas	1
A renaissance doctor - what treatment excluding bleeding	Female Genitals	0
A renaissance doctor - what treatment excluding bleeding	Richard Hannay	0
A renaissance doctor - what treatment excluding bleeding	Gernsbeck	0
You could be executed for drinking what in ancient Turkey	Coffee	1
You could be executed for drinking what in ancient Turkey	Bugsy Siegel	0
You could be executed for drinking what in ancient Turkey	Xylophone	0
You could be executed for drinking what in ancient Turkey	Seymour	0
Where did the ancient Egyptians paint pictures of their enemies	Foot of Sandals	1
Where did the ancient Egyptians paint pictures of their enemies	Argus	0
Where did the ancient Egyptians paint pictures of their enemies	Flutes	0
Where did the ancient Egyptians paint pictures of their enemies	Sole of foot	0
What is found in one third of American homes	Scrabble	1
What is found in one third of American homes	Buttermilk	0
What is found in one third of American homes	Seal	0
What is found in one third of American homes	Accordion	0
Bowling for lizards was whose favourite TV program	Fred Flintstone	1
Bowling for lizards was whose favourite TV program	France	0
Bowling for lizards was whose favourite TV program	Terry Nation	0
Bowling for lizards was whose favourite TV program	Tennessee	0
The name Jesse means what in Hebrew	Wealth	1
The name Jesse means what in Hebrew	Calculus	0
The name Jesse means what in Hebrew	Penguin	0
The name Jesse means what in Hebrew	Winnie the Pooh	0
According to strain theory crime is mainly committed by who	The lower classes	1
According to strain theory crime is mainly committed by who	Mekon	0
According to strain theory crime is mainly committed by who	Slot Machines	0
According to strain theory crime is mainly committed by who	Spitting	0
In what country was the longbow invented	Wales	1
In what country was the longbow invented	Déjà vu	0
In what country was the longbow invented	Maori	0
In what country was the longbow invented	Quidditch	0
Who makes Pringles	Proctor and Gamble	1
Who makes Pringles	Plum	0
Who makes Pringles	Hurling	0
Who makes Pringles	Bram Stokers Dracula	0
What airline started 24th September 1946 single DC3 - Betsy	Cathay Pacific	1
What airline started 24th September 1946 single DC3 - Betsy	Great Britain	0
What airline started 24th September 1946 single DC3 - Betsy	Onions	0
What airline started 24th September 1946 single DC3 - Betsy	Angie Dickinson	0
What are a swallowtail and a burgee	Flags	1
What are a swallowtail and a burgee	A Woof	0
What are a swallowtail and a burgee	Monk Fish	0
What are a swallowtail and a burgee	Dice	0
What is the most common sexually transmitted disease in USA	Herpes	1
What is the most common sexually transmitted disease in USA	Dangerous Bacteria	0
What is the most common sexually transmitted disease in USA	Roald Dahl	0
What is the most common sexually transmitted disease in USA	Frozen Food	0
Who was the Angel in Milton's Paradise Lost	Beelzebub	1
Who was the Angel in Milton's Paradise Lost	Fire a Gun	0
Who was the Angel in Milton's Paradise Lost	Wild Boar	0
Who was the Angel in Milton's Paradise Lost	Greying Hair	0
300000 American teenagers get what every year	Venereal disease	1
300000 American teenagers get what every year	Calcutta	0
300000 American teenagers get what every year	Motor Racing	0
300000 American teenagers get what every year	Alcoholics	0
Francesco Seraglio invented what in Australia in early 1960s	The Woolmark logo	1
Francesco Seraglio invented what in Australia in early 1960s	Butterflies	0
Francesco Seraglio invented what in Australia in early 1960s	Triton	0
Francesco Seraglio invented what in Australia in early 1960s	Sigmund Freud	0
What was Socrates wife's name	Xanthippe	1
What was Socrates wife's name	Railroad repair gang	0
What was Socrates wife's name	Timmy the Dog	0
What was Socrates wife's name	Bo Derek	0
Who "Loved not to wisely but too well" Shakespeare play	Othello	1
Who "Loved not to wisely but too well" Shakespeare play	Lord of the Flies	0
Who "Loved not to wisely but too well" Shakespeare play	Brahma Bulls	0
Who "Loved not to wisely but too well" Shakespeare play	Bungee Jump	0
What did Anna Sage "The lady in Red do"	Betray John Dillinger	1
What did Anna Sage "The lady in Red do"	Timmy the Dog	0
What did Anna Sage "The lady in Red do"	Britain	0
What did Anna Sage "The lady in Red do"	Video Home System	0
Who makes Kleenex tissues	Kimberly Clark	1
Who makes Kleenex tissues	Harold Pinter	0
Who makes Kleenex tissues	Soybean Paste	0
Who makes Kleenex tissues	Tiddlywinks	0
Poon Lim holds the record of 133 days doing what	Surviving on a raft	1
Poon Lim holds the record of 133 days doing what	Greece	0
Poon Lim holds the record of 133 days doing what	Thailand	0
Poon Lim holds the record of 133 days doing what	Electric Lights	0
Marcus Garvey founded what	Rastafarians	1
Marcus Garvey founded what	Saudi Arabia	0
Marcus Garvey founded what	Beaver	0
Marcus Garvey founded what	Shinto	0
Ancient Roman brides wore a wedding dress - what colour	Yellow	1
Ancient Roman brides wore a wedding dress - what colour	In a Basilica	0
Ancient Roman brides wore a wedding dress - what colour	Omaha Orange	0
Ancient Roman brides wore a wedding dress - what colour	Gothic	0
64% of American teenagers have what in their bedrooms	Television	1
64% of American teenagers have what in their bedrooms	Goatee	0
64% of American teenagers have what in their bedrooms	A Beer	0
64% of American teenagers have what in their bedrooms	Horse	0
Charles Stratton became famous as what circus act	Tom Thumb	1
Charles Stratton became famous as what circus act	Beetles	0
Charles Stratton became famous as what circus act	Houston	0
Charles Stratton became famous as what circus act	Xena warrior princess	0
What is the most common sexual complaint of females over 50	Vaginal Dryness	1
What is the most common sexual complaint of females over 50	Nurse Chapel	0
What is the most common sexual complaint of females over 50	Hindu	0
What is the most common sexual complaint of females over 50	25th March	0
Who makes Miller Lite beer	Philip Morris	1
Who makes Miller Lite beer	Scarlet Pimpernel	0
Who makes Miller Lite beer	Polar Bear	0
Who makes Miller Lite beer	A Dishcloth	0
The name Calvin has what unfortunate Latin meaning	Bald	1
